location_mm	Angle_mrad	Charge_pC	ChargeDen_pC/mrad
8.31427e+00	5.54285e+00	3.63077e+01	1.89961e+02
8.02757e+00	5.35171e+00	3.92404e+01	2.05305e+02
7.74087e+00	5.16058e+00	4.23434e+01	2.21539e+02
7.45417e+00	4.96945e+00	4.57070e+01	2.39138e+02
7.16747e+00	4.77831e+00	4.93460e+01	2.58177e+02
6.88077e+00	4.58718e+00	5.31627e+01	2.78145e+02
6.59407e+00	4.39605e+00	5.72796e+01	2.99685e+02
6.30738e+00	4.20492e+00	6.15987e+01	3.22283e+02
6.02068e+00	4.01378e+00	6.60360e+01	3.45499e+02
5.73398e+00	3.82265e+00	7.07016e+01	3.69908e+02
5.44728e+00	3.63152e+00	7.55914e+01	3.95492e+02
5.16058e+00	3.44039e+00	8.05765e+01	4.21574e+02
4.87388e+00	3.24925e+00	8.56886e+01	4.48320e+02
4.58718e+00	3.05812e+00	9.08181e+01	4.75158e+02
4.30048e+00	2.86699e+00	9.60674e+01	5.02621e+02
4.01378e+00	2.67586e+00	1.01362e+02	5.30322e+02
3.72709e+00	2.48472e+00	1.06424e+02	5.56809e+02
3.44039e+00	2.29359e+00	1.11431e+02	5.83002e+02
3.15369e+00	2.10246e+00	1.16520e+02	6.09629e+02
2.86699e+00	1.91133e+00	1.21383e+02	6.35071e+02
2.58029e+00	1.72019e+00	1.26183e+02	6.60187e+02
2.29359e+00	1.52906e+00	1.30628e+02	6.83442e+02
2.00689e+00	1.33793e+00	1.34789e+02	7.05211e+02
1.72019e+00	1.14680e+00	1.39309e+02	7.28862e+02
1.43349e+00	9.55663e-01	1.43390e+02	7.50215e+02
1.14680e+00	7.64530e-01	1.47244e+02	7.70375e+02
8.60097e-01	5.73398e-01	1.51222e+02	7.91190e+02
5.73398e-01	3.82265e-01	1.55018e+02	8.11050e+02
2.86699e-01	1.91133e-01	1.58816e+02	8.30918e+02
-0.00000e+00	-0.00000e+00	1.62644e+02	8.50946e+02
-2.86699e-01	-1.91133e-01	1.66322e+02	8.70192e+02
-5.73398e-01	-3.82265e-01	1.70006e+02	8.89467e+02
-8.60097e-01	-5.73398e-01	1.73472e+02	9.07600e+02
-1.14680e+00	-7.64530e-01	1.76885e+02	9.25459e+02
-1.43349e+00	-9.55663e-01	1.80513e+02	9.44441e+02
-1.72019e+00	-1.14680e+00	1.83568e+02	9.60421e+02
-2.00689e+00	-1.33793e+00	1.86404e+02	9.75262e+02
-2.29359e+00	-1.52906e+00	1.89094e+02	9.89335e+02
-2.58029e+00	-1.72019e+00	1.91212e+02	1.00042e+03
-2.86699e+00	-1.91133e+00	1.93483e+02	1.01230e+03
-3.15369e+00	-2.10246e+00	1.95115e+02	1.02084e+03
-3.44039e+00	-2.29359e+00	1.96711e+02	1.02918e+03
-3.72709e+00	-2.48472e+00	1.97977e+02	1.03581e+03
-4.01378e+00	-2.67586e+00	1.99000e+02	1.04116e+03
-4.30048e+00	-2.86699e+00	1.99873e+02	1.04573e+03
-4.58718e+00	-3.05812e+00	2.00648e+02	1.04978e+03
-4.87388e+00	-3.24925e+00	2.00875e+02	1.05097e+03
-5.16058e+00	-3.44039e+00	2.00996e+02	1.05161e+03
-5.44728e+00	-3.63152e+00	2.01140e+02	1.05236e+03
-5.73398e+00	-3.82265e+00	2.00665e+02	1.04988e+03
-6.02068e+00	-4.01378e+00	2.00670e+02	1.04990e+03
-6.30738e+00	-4.20492e+00	2.00148e+02	1.04717e+03
-6.59407e+00	-4.39605e+00	1.99799e+02	1.04534e+03
-6.88077e+00	-4.58718e+00	1.99338e+02	1.04293e+03
-7.16747e+00	-4.77831e+00	1.98278e+02	1.03739e+03
-7.45417e+00	-4.96945e+00	1.97319e+02	1.03237e+03
-7.74087e+00	-5.16058e+00	1.96121e+02	1.02610e+03
-8.02757e+00	-5.35171e+00	1.94729e+02	1.01882e+03
-8.31427e+00	-5.54285e+00	1.93316e+02	1.01142e+03
-8.60097e+00	-5.73398e+00	1.91444e+02	1.00163e+03
-8.88767e+00	-5.92511e+00	1.89345e+02	9.90648e+02
