# wavelength [nm], transmission T [%]
2.585000000000000000e+02,6.984550205058498662e+00
2.590000000000000000e+02,7.914826749183606402e+00
2.595000000000000000e+02,1.063068150563861458e+01
2.600000000000000000e+02,1.304410082854926323e+01
2.605000000000000000e+02,1.353786311633770012e+01
2.610000000000000000e+02,1.318100744120931012e+01
2.615000000000000000e+02,1.251143496504272612e+01
2.620000000000000000e+02,1.041330425699169382e+01
2.625000000000000000e+02,8.612590255013632401e+00
2.630000000000000000e+02,7.721331094717988286e+00
2.635000000000000000e+02,7.544392375246926186e+00
2.640000000000000000e+02,6.825322209322090217e+00
2.645000000000000000e+02,6.013854781481134282e+00
2.650000000000000000e+02,5.628611810787128356e+00
2.655000000000000000e+02,5.489084409514850549e+00
2.660000000000000000e+02,5.642012629120548795e+00
2.665000000000000000e+02,6.662906402517361215e+00
2.670000000000000000e+02,8.270373543326387633e+00
2.675000000000000000e+02,8.861492920796024464e+00
2.680000000000000000e+02,8.529807096028079627e+00
2.685000000000000000e+02,8.243107666947308232e+00
2.690000000000000000e+02,6.736617141837217382e+00
2.695000000000000000e+02,3.992374644426626595e+00
2.700000000000000000e+02,2.461404027748996359e+00
2.705000000000000000e+02,1.687516571697394552e+00
2.710000000000000000e+02,7.530008987228717920e-01
2.715000000000000000e+02,8.205745250371395683e-01
2.720000000000000000e+02,2.179245210869820593e+00
2.725000000000000000e+02,3.366824034956886980e+00
2.730000000000000000e+02,3.936811303393596972e+00
2.735000000000000000e+02,4.422359293247812850e+00
2.740000000000000000e+02,4.537231299108233529e+00
2.745000000000000000e+02,4.313850716690499354e+00
2.750000000000000000e+02,4.225276212054954073e+00
2.755000000000000000e+02,4.281913135830145656e+00
2.760000000000000000e+02,4.101418720130982187e+00
2.765000000000000000e+02,3.773319648566008322e+00
2.770000000000000000e+02,4.011404238681932632e+00
2.775000000000000000e+02,4.171260424564623648e+00
2.780000000000000000e+02,3.940526613638819509e+00
2.785000000000000000e+02,4.398495971778060287e+00
2.790000000000000000e+02,5.400032073575355973e+00
2.795000000000000000e+02,5.996385135311656178e+00
2.800000000000000000e+02,6.516439309848766293e+00
2.805000000000000000e+02,6.544311138013934936e+00
2.810000000000000000e+02,6.106111594780391449e+00
2.815000000000000000e+02,5.825325947927072257e+00
2.820000000000000000e+02,5.599830794621095009e+00
2.825000000000000000e+02,5.181884832441397748e+00
2.830000000000000000e+02,5.447249705026656841e+00
2.835000000000000000e+02,6.374665061877626826e+00
2.840000000000000000e+02,7.072473010015949413e+00
2.845000000000000000e+02,7.111009535168044238e+00
2.850000000000000000e+02,7.031848953947486436e+00
2.855000000000000000e+02,6.995596994757128151e+00
2.860000000000000000e+02,6.289966258492429851e+00
2.865000000000000000e+02,5.256227397261594270e+00
2.870000000000000000e+02,5.031556177853063083e+00
2.875000000000000000e+02,5.349354440570145641e+00
2.880000000000000000e+02,5.112270436654327455e+00
2.885000000000000000e+02,5.191056072871654159e+00
2.890000000000000000e+02,4.834448835241295761e+00
2.895000000000000000e+02,2.828675487621951756e+00
2.900000000000000000e+02,1.518856529928177101e+00
2.905000000000000000e+02,1.052492597385207729e+00
2.910000000000000000e+02,9.952205352167848851e-01
2.915000000000000000e+02,1.872264768769080323e+00
2.920000000000000000e+02,3.220242852250316368e+00
2.925000000000000000e+02,4.594953284159707607e+00
2.930000000000000000e+02,6.338230034389235712e+00
2.935000000000000000e+02,8.538865849217918580e+00
2.940000000000000000e+02,9.823495188621430785e+00
2.945000000000000000e+02,9.772967478282250653e+00
2.950000000000000000e+02,9.690907329285904481e+00
2.955000000000000000e+02,9.547151071585934901e+00
2.960000000000000000e+02,9.056130277664530936e+00
2.965000000000000000e+02,9.402623547159638662e+00
2.970000000000000000e+02,1.081899043721199760e+01
2.975000000000000000e+02,1.137038146189913057e+01
2.980000000000000000e+02,1.015993679324528820e+01
2.985000000000000000e+02,8.776571419313814459e+00
2.990000000000000000e+02,5.409684654675676718e+00
2.995000000000000000e+02,1.457003764930634215e+00
3.000000000000000000e+02,-2.958028178390521568e-01
3.005000000000000000e+02,-5.917081623929696388e-01
3.010000000000000000e+02,-6.352163271737094608e-01
3.015000000000000000e+02,4.885804219108829116e-01
3.020000000000000000e+02,2.124012473786360822e+00
3.025000000000000000e+02,3.111662401914322640e+00
3.030000000000000000e+02,3.473494095193654374e+00
3.035000000000000000e+02,3.255250870217052395e+00
3.040000000000000000e+02,3.181091056956225849e+00
3.045000000000000000e+02,3.871012885890387611e+00
3.050000000000000000e+02,4.808965499187630499e+00
3.055000000000000000e+02,5.210701264051083470e+00
3.060000000000000000e+02,4.994741984334964968e+00
3.065000000000000000e+02,4.431561336983499189e+00
3.070000000000000000e+02,3.651507232608020015e+00
3.075000000000000000e+02,2.833601225327785578e+00
3.080000000000000000e+02,2.341351238231617060e+00
3.085000000000000000e+02,2.595439260124835279e+00
3.090000000000000000e+02,3.687811463463564809e+00
3.095000000000000000e+02,5.211255008864313254e+00
3.100000000000000000e+02,6.133381177887377689e+00
3.105000000000000000e+02,6.539050385770657670e+00
3.110000000000000000e+02,6.908989832928363661e+00
3.115000000000000000e+02,7.660904065302542421e+00
3.120000000000000000e+02,8.073254251386705604e+00
3.125000000000000000e+02,9.116604054989732475e+00
3.130000000000000000e+02,9.610123779463940252e+00
3.135000000000000000e+02,9.225007410778648165e+00
3.140000000000000000e+02,8.503337979526035539e+00
3.145000000000000000e+02,8.025766362240114304e+00
3.150000000000000000e+02,7.342001056904774892e+00
3.155000000000000000e+02,6.864034145612299298e+00
3.160000000000000000e+02,7.167864900267588268e+00
3.165000000000000000e+02,8.290806944007316659e+00
3.170000000000000000e+02,9.349858207397264920e+00
3.175000000000000000e+02,1.046847517979596986e+01
3.180000000000000000e+02,1.190565813140732843e+01
3.185000000000000000e+02,1.203848678743750433e+01
3.190000000000000000e+02,1.006829535060197145e+01
