shotnumber	VL-charge_pC	VL-10 mrad charge_pC	VL-roi charge_pC	VL-peak angle x_mrad	VL-peak angle y_mrad	VL-fwhm angle x_mrad	VL-fwhm angle y_mrad
1.41000e+02	1.34783e+02	7.63131e+01	2.38527e+00	6.65667e+00	-6.30738e+00	9.93890e+00	6.68964e+00
1.42000e+02	1.33444e+02	7.63059e+01	3.43163e+00	3.98081e+00	-6.30738e+00	9.55663e+00	7.07191e+00
1.43000e+02	1.22332e+02	7.04312e+01	2.41628e+00	3.78968e+00	-7.07191e+00	8.79210e+00	7.45417e+00
1.44000e+02	1.35429e+02	7.53148e+01	2.66558e+00	5.70100e+00	-6.68964e+00	1.03212e+01	7.07191e+00
1.45000e+02	1.05916e+02	6.46400e+01	2.03712e+00	3.02515e+00	-7.26304e+00	9.74776e+00	5.92511e+00
1.46000e+02	1.14902e+02	6.82089e+01	3.08560e+00	3.40741e+00	-6.68964e+00	8.21870e+00	5.35171e+00
1.47000e+02	1.30935e+02	7.72661e+01	4.19792e+00	4.55421e+00	-4.58718e+00	1.14680e+01	5.54285e+00
1.48000e+02	1.12273e+02	6.36874e+01	1.60147e+00	2.64288e+00	-7.26304e+00	7.45417e+00	4.77831e+00
1.49000e+02	1.03570e+02	6.25621e+01	1.97014e+00	3.21628e+00	-7.26304e+00	7.64530e+00	4.58718e+00
1.50000e+02	1.27380e+02	7.37489e+01	3.33430e+00	4.17194e+00	-5.92511e+00	9.55663e+00	6.88077e+00
1.51000e+02	1.04486e+02	6.67457e+01	3.39483e+00	2.64288e+00	-5.73398e+00	1.01300e+01	6.68964e+00
1.52000e+02	1.25882e+02	6.96790e+01	1.55462e+00	5.70100e+00	-7.45417e+00	9.36550e+00	6.88077e+00
1.53000e+02	1.05458e+02	6.31219e+01	1.83288e+00	3.59855e+00	-7.26304e+00	8.79210e+00	6.11624e+00
1.54000e+02	1.27375e+02	7.20634e+01	2.60720e+00	3.21628e+00	-7.26304e+00	9.36550e+00	7.26304e+00
1.55000e+02	1.05298e+02	6.55114e+01	2.47705e+00	2.26062e+00	-6.68964e+00	1.01300e+01	5.54285e+00
1.56000e+02	1.04821e+02	6.09628e+01	1.95124e+00	2.06948e+00	-7.26304e+00	7.64530e+00	5.73398e+00
1.57000e+02	1.02376e+02	6.39333e+01	2.46439e+00	3.40741e+00	-6.49851e+00	8.60097e+00	5.16058e+00
1.58000e+02	1.20292e+02	7.01301e+01	2.11838e+00	3.02515e+00	-7.26304e+00	1.01300e+01	6.88077e+00
1.59000e+02	1.29578e+02	7.68974e+01	2.30215e+00	5.89214e+00	-6.88077e+00	1.05123e+01	5.54285e+00
1.60000e+02	1.26034e+02	7.37034e+01	3.41767e+00	3.40741e+00	-5.92511e+00	8.98323e+00	6.30738e+00
