location_mm	Angle_mrad	Charge_pC	ChargeDen_pC/mrad
3.98017e+01	2.65345e+01	8.12915e+00	4.25315e+01
4.00884e+01	2.67256e+01	8.07401e+00	4.22430e+01
4.03751e+01	2.69167e+01	7.96659e+00	4.16810e+01
4.06618e+01	2.71079e+01	7.88225e+00	4.12397e+01
4.09485e+01	2.72990e+01	7.75366e+00	4.05669e+01
4.12352e+01	2.74901e+01	7.67939e+00	4.01783e+01
4.15219e+01	2.76813e+01	7.58537e+00	3.96864e+01
4.18086e+01	2.78724e+01	7.51033e+00	3.92938e+01
4.20953e+01	2.80635e+01	7.37502e+00	3.85859e+01
4.23820e+01	2.82547e+01	7.29482e+00	3.81663e+01
4.26687e+01	2.84458e+01	7.20537e+00	3.76983e+01
4.29554e+01	2.86369e+01	7.13447e+00	3.73273e+01
4.32421e+01	2.88280e+01	7.06793e+00	3.69792e+01
4.35288e+01	2.90192e+01	6.96703e+00	3.64513e+01
4.38155e+01	2.92103e+01	6.86829e+00	3.59347e+01
4.41022e+01	2.94014e+01	6.79802e+00	3.55670e+01
4.43889e+01	2.95926e+01	6.71691e+00	3.51427e+01
4.46756e+01	2.97837e+01	6.61359e+00	3.46021e+01
4.49623e+01	2.99748e+01	6.55381e+00	3.42893e+01
4.52490e+01	3.01660e+01	6.45669e+00	3.37812e+01
4.55357e+01	3.03571e+01	6.34875e+00	3.32165e+01
4.58224e+01	3.05482e+01	6.29277e+00	3.29236e+01
4.61091e+01	3.07394e+01	6.18031e+00	3.23352e+01
4.63958e+01	3.09305e+01	6.13877e+00	3.21178e+01
4.66825e+01	3.11216e+01	6.03876e+00	3.15946e+01
4.69692e+01	3.13128e+01	5.98413e+00	3.13088e+01
4.72559e+01	3.15039e+01	5.90752e+00	3.09079e+01
4.75426e+01	3.16950e+01	5.84460e+00	3.05788e+01
4.78293e+01	3.18862e+01	5.81100e+00	3.04030e+01
4.81160e+01	3.20773e+01	5.67841e+00	2.97093e+01
4.84027e+01	3.22684e+01	5.64164e+00	2.95169e+01
4.86894e+01	3.24596e+01	5.54186e+00	2.89948e+01
4.89760e+01	3.26507e+01	5.54315e+00	2.90016e+01
4.92627e+01	3.28418e+01	5.51246e+00	2.88410e+01
4.95494e+01	3.30330e+01	5.62358e+00	2.94224e+01
